Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,month,year,day,is_quarter_end,target,Open-Close,Low-High,7_day_MA,RSI,MACD,MACD_signal,MACD_hist,Volume_change
2011-07-08,870.7,873.0,874.0,852.0,854.3,854.85,858.61,4785969,410927689480000.0,82105.0,2972609.0,0.6211,7,2011,8,0,0,18.149999999999977,-22.0,864.75,39.99827184375702,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.039703867132545145
2011-07-11,854.85,854.0,859.95,847.0,852.8,853.3,854.56,2194126,187502203825000.0,60289.0,885377.0,0.4035,7,2011,11,0,0,0.7000000000000455,-12.950000000000045,858.2928571428572,39.60615755419849,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.5415503109192725
2011-07-12,853.3,847.5,857.4,845.7,847.5,847.75,849.72,2986757,253790491680000.03,84280.0,1668966.0,0.5588000000000001,7,2011,12,0,1,-0.25,-11.699999999999932,856.2642857142857,38.163492468346895,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.361251359311179
2011-07-13,847.75,853.05,869.7,851.1,867.6,865.45,860.62,3892719,335015175475000.0,95561.0,2135723.0,0.5486,7,2011,13,0,1,-12.400000000000091,-18.600000000000023,855.842857142857,45.039248235876215,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.30332631680448063
2011-07-14,865.45,863.3,877.9,859.35,864.9,867.55,867.88,3043021,264099110190000.0,87903.0,1386733.0,0.4557,7,2011,14,0,1,-4.25,-18.549999999999955,858.9285714285714,45.80914449199698,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.21827879176483067
2011-07-15,867.55,867.7,876.0,865.0,872.5,873.2,871.34,2332976,203281802700000.0,97923.0,1168716.0,0.501,7,2011,15,0,0,-5.5,-11.0,861.8285714285714,47.92283180320888,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.2333355570007568
2011-07-18,873.2,871.9,873.9,864.2,866.0,867.6,869.0,1504709,130759171730000.0,42399.0,710186.0,0.472,7,2011,18,0,1,4.2999999999999545,-9.699999999999932,861.3857142857144,46.007400032252676,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.35502594111555374
2011-07-19,867.6,867.5,881.4,866.0,878.15,879.45,874.18,2245330,196281636965000.0,71767.0,1088143.0,0.4846,7,2011,19,0,0,-11.950000000000045,-15.399999999999977,864.9,50.51469016375415,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.49220214672737383
2011-07-20,879.45,886.0,886.8,868.8,874.8,876.2,877.9,2555594,224356613480000.03,79529.0,1272175.0,0.4978,7,2011,20,0,0,9.799999999999955,-18.0,868.1714285714286,49.299147035640985,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,0.1381819153531998
2011-07-21,876.2,875.95,875.95,857.55,858.0,860.85,866.59,1802647,156215382995000.0,57903.0,893671.0,0.4958,7,2011,21,0,1,15.100000000000023,-18.40000000000009,870.0428571428572,43.92318486167303,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,-0.29462700256770047
